base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 68},200,"{'lon': -133.03, 'lat': 69.44}",1552291565.0,6170031.0,"{'temp': 16.03, 'pressure': 983.77, 'humidity': 91, 'temp_min': 16.03, 'temp_max': 16.03, 'sea_level': 983.77, 'grnd_level': 982.63}",,Tuktoyaktuk,,,"{'message': 0.0091, 'country': 'CA', 'sunrise': 1552318217, 'sunset': 1552358138}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 6.42, 'deg': 273.001}"
stations,{'all': 0},200,"{'lon': -0.6, 'lat': 45.6}",1552291554.0,3026644.0,"{'temp': 44.29, 'pressure': 1033, 'humidity': 93, 'temp_min': 42.8, 'temp_max': 46}",,Souillac,{'1h': 0.25},,"{'type': 1, 'id': 6452, 'message': 0.004, 'country': 'FR', 'sunrise': 1552285362, 'sunset': 1552327369}",10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.36, 'deg': 250}"
stations,{'all': 0},200,"{'lon': 38.73, 'lat': 8.96}",1552291566.0,344979.0,"{'temp': 76.65, 'pressure': 1007.61, 'humidity': 23, 'temp_min': 76.65, 'temp_max': 76.65, 'sea_level': 1007.61, 'grnd_level': 768.07}",,Lebu,,,"{'message': 0.0057, 'country': 'ET', 'sunrise': 1552275247, 'sunset': 1552318570}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.41, 'deg': 124.001}"
stations,{'all': 100},200,"{'lon': 19.24, 'lat': -34.42}",1552291203.0,3366880.0,"{'temp': 62.01, 'pressure': 1014, 'humidity': 98, 'temp_min': 62.01, 'temp_max': 62.01}",,Hermanus,{'3h': 2.87125},,"{'type': 3, 'id': 2006131, 'message': 0.0041, 'country': 'ZA', 'sunrise': 1552279132, 'sunset': 1552323997}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 1.99, 'deg': 131, 'gust': 4.92}"
stations,{'all': 40},200,"{'lon': -78.55, 'lat': -0.39}",1552291236.0,3652462.0,"{'temp': 51.46, 'pressure': 1026, 'humidity': 93, 'temp_min': 46.99, 'temp_max': 55.4}",,San Cristobal,,,"{'type': 1, 'id': 8555, 'message': 0.0035, 'country': 'EC', 'sunrise': 1552303244, 'sunset': 1552346848}",6000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 3.36, 'deg': 50}"
stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1552287600.0,3833367.0,"{'temp': 46.4, 'pressure': 1001, 'humidity': 75, 'temp_min': 46.4, 'temp_max': 46.4}",,Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0047, 'country': 'AR', 'sunrise': 1552299411, 'sunset': 1552345695}",10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]","{'speed': 31.09, 'deg': 230}"
stations,{'all': 90},200,"{'lon': -73.75, 'lat': 42.65}",1552291458.0,5106834.0,"{'temp': 35.51, 'pressure': 1013, 'humidity': 74, 'temp_min': 32, 'temp_max': 39.2}",,Albany,{'1h': 0.25},{'1h': 0.08},"{'type': 1, 'id': 3310, 'message': 0.0057, 'country': 'US', 'sunrise': 1552302823, 'sunset': 1552345009}",16093.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 11.41, 'deg': 280, 'gust': 8.7}"
stations,{'all': 76},200,"{'lon': 125.41, 'lat': -8.93}",1552291567.0,1651810.0,"{'temp': 76.38, 'pressure': 1008.81, 'humidity': 82, 'temp_min': 76.38, 'temp_max': 76.38, 'sea_level': 1008.81, 'grnd_level': 933.27}",,Airai,{'3h': 0.8625},,"{'message': 0.0035, 'country': 'TL', 'sunrise': 1552254162, 'sunset': 1552298040}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 1.95, 'deg': 233.001}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 0},200,"{'lon': 128.87, 'lat': 71.64}",1552291567.0,2015306.0,"{'temp': -17.5, 'pressure': 1011.69, 'humidity': 50, 'temp_min': -17.5, 'temp_max': -17.5, 'sea_level': 1011.69, 'grnd_level': 992.79}",,Tiksi,,,"{'message': 0.0043, 'country': 'RU', 'sunrise': 1552255811, 'sunset': 1552294868}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 4.18, 'deg': 195.501}"
